"상태","업체명","식별번호","규격","2025-12-17","2025-12-24","2025-12-25","변동액","계약종료일"
"SAME","주식회사 테트라","23732215","데스크톱컴퓨터, 테트라, T-DM3855-1A, Intel Celeron 3855U(1.60GHz)","376700","376700","376700","0","2029.09.30"
"SAME","주식회사 서버앤컴퓨터","24158944","데스크톱컴퓨터, 서버앤컴퓨터, DECA-N3801, Intel Core i3 10100(3.6GHz)","508000","508000","508000","0","2026.04.29"
"SAME","주식회사 서버앤컴퓨터","24589668","데스크톱컴퓨터, 서버앤컴퓨터, DODE-N3812, Intel Core i3 12100(3.3GHz)","545000","545000","545000","0","2026.04.29"
"SAME","(주)컴트리","25101186","데스크톱컴퓨터, 컴트리, CSG-D1H8IB0, Intel Core i3 13100(3.4GHz)","545800","545800","545800","0","2029.09.30"
"SAME","주식회사 서버앤컴퓨터","24158946","데스크톱컴퓨터, 서버앤컴퓨터, DECA-N3802, Intel Core i3 10100(3.6GHz)","546000","546000","546000","0","2026.04.29"
"SAME","(주)컴트리","24483655","데스크톱컴퓨터, 컴트리, CSG-C1A8IB0, Intel Core i3 12100(3.3GHz)","550710","550710","550710","0","2029.09.30"
"SAME","주식회사 서버앤컴퓨터","24158947","데스크톱컴퓨터, 서버앤컴퓨터, DECA-N3811, Intel Core i3 10100(3.6GHz)","574000","574000","574000","0","2026.04.29"
"SAME","주식회사 서버앤컴퓨터","24589669","데스크톱컴퓨터, 서버앤컴퓨터, DODE-N3815, Intel Core i3 12100(3.3GHz)","600000","600000","600000","0","2026.04.29"
"SAME","주식회사 기린","24481644","데스크톱컴퓨터, 기린, KR161-S2108200, Intel Core i3 12100(3.3GHz)","607000","607000","607000","0","2029.09.30"
"SAME","주식회사 서버앤컴퓨터","24158948","데스크톱컴퓨터, 서버앤컴퓨터, DECA-N3812, Intel Core i3 10100(3.6GHz)","612000","612000","612000","0","2026.04.29"
"SAME","주식회사 스마트인디지털","24502767","데스크톱컴퓨터, 스마트인디지털, DLM3-HGBSNT, Intel Core i3 12100(3.3GHz)","613100","613100","613100","0","2029.09.30"
"SAME","주식회사 서버앤컴퓨터","24158950","데스크톱컴퓨터, 서버앤컴퓨터, DECA-N5802, Intel Core i5 10500(3.1GHz)","616000","616000","616000","0","2026.04.29"
"SAME","주식회사 아이티에스","24814296","데스크톱컴퓨터, 아이티에스, ITS-DS12-G3A21, Intel Core i3 12100(3.3GHz)","619000","619000","619000","0","2028.02.12"
"SAME","주식회사 아이티에스","24814323","데스크톱컴퓨터, 아이티에스, ITS-DT12-G3A21, Intel Core i3 12100(3.3GHz)","619000","619000","619000","0","2028.02.12"
"SAME","(주)컴트리","25101188","데스크톱컴퓨터, 컴트리, CSG-D1H1JB0, Intel Core i3 13100(3.4GHz)","622200","622200","622200","0","2029.09.30"
"SAME","주식회사 스마트인디지털","24499220","데스크톱컴퓨터, 스마트인디지털, DLS3-HGESNT, Intel Core i3 12100(3.3GHz)","637600","637600","637600","0","2029.09.30"
"SAME","위더스컴퓨터 주식회사","24487387","데스크톱컴퓨터, 위더스컴퓨터, H6S-10N28, Intel Core i3 12100(3.3GHz)","644000","644000","644000","0","2029.09.30"
"SAME","위더스컴퓨터 주식회사","24487390","데스크톱컴퓨터, 위더스컴퓨터, H6T-10N28, Intel Core i3 12100(3.3GHz)","644000","644000","644000","0","2029.09.30"
"SAME","주식회사 서버앤컴퓨터","24158952","데스크톱컴퓨터, 서버앤컴퓨터, DECA-N5811, Intel Core i5 10500(3.1GHz)","644000","644000","644000","0","2026.04.29"
"SAME","주식회사 서버앤컴퓨터","24589640","데스크톱컴퓨터, 서버앤컴퓨터, DODE-T3812, Intel Core i3 12100(3.3GHz)","645000","645000","645000","0","2026.04.29"
"SAME","주식회사 기린","24481635","데스크톱컴퓨터, 기린, KR161-T2108200, Intel Core i3 12100(3.3GHz)","647000","647000","647000","0","2029.09.30"
"SAME","주식회사 아이티에스","24814327","데스크톱컴퓨터, 아이티에스, ITS-DT23H-VA11, Intel Core i3 12100(3.3GHz)","649000","649000","649000","0","2028.02.12"
"SAME","주식회사 아이티에스","24814293","데스크톱컴퓨터, 아이티에스, ITS-DS23H-VA11, Intel Core i3 12100(3.3GHz)","649000","649000","649000","0","2028.02.12"
"SAME","주식회사 아이티에스","24814320","데스크톱컴퓨터, 아이티에스, ITS-DS12-G4B20, Intel Core i5 12400(2.5GHz)","654000","654000","654000","0","2028.02.12"
"SAME","(주)컴트리","24483654","데스크톱컴퓨터, 컴트리, CSG-C1A8JB0, Intel Core i3 12100(3.3GHz)","658090","658090","658090","0","2029.09.30"
"SAME","주식회사 스마트인디지털","24502771","데스크톱컴퓨터, 스마트인디지털, DLM3-PGBSNT, Intel Core i3 12100(3.3GHz)","660100","660100","660100","0","2029.09.30"
"SAME","주식회사 성주컴텍","25776557","데스크톱컴퓨터, 성주컴텍, TD210-GRY550S1M, AMD/Ryzen5 5500GT(3.6GHz)","669500","669500","669500","0","2029.09.30"
"SAME","위더스컴퓨터 주식회사","24487389","데스크톱컴퓨터, 위더스컴퓨터, H6S-10N58, Intel Core i3 12100(3.3GHz)","673000","673000","673000","0","2029.09.30"
"SAME","위더스컴퓨터 주식회사","24487392","데스크톱컴퓨터, 위더스컴퓨터, H6T-10N58, Intel Core i3 12100(3.3GHz)","673000","673000","673000","0","2029.09.30"
"SAME","주식회사 아이티에스","24814321","데스크톱컴퓨터, 아이티에스, ITS-DS12-G4B50, Intel Core i5 12400(2.5GHz)","674000","674000","674000","0","2028.02.12"
"SAME","주식회사 아이티에스","24814334","데스크톱컴퓨터, 아이티에스, ITS-DT12-G4B50, Intel Core i5 12400(2.5GHz)","674000","674000","674000","0","2028.02.12"
"SAME","주식회사 아이티에스","24814294","데스크톱컴퓨터, 아이티에스, ITS-DS12-G4A21, Intel Core i5 12400(2.5GHz)","679000","679000","679000","0","2028.02.12"
