"상태","업체명","식별번호","규격","2025-12-17","2025-12-24","2025-12-26","2025-12-30","2025-12-31","2026-01-02","변동액","계약종료일"
"UP","주식회사 트리엠","25935436","데스크톱컴퓨터, 트리엠, TU2-CB5-5506, Intel Core Ultra 5 235(3.4GHz)","","1418900","1418900","1418900","1418900","1680200","261300","2029.06.25"
"SAME","주식회사 한라온","25326633","데스크톱컴퓨터, 한라온, AN176-T3516307, Intel Core i5 13500(2.5GHz)","","1428020","1428020","","",,"0","2027.11.09"
"UP","주식회사 트리엠","25935408","데스크톱컴퓨터, 트리엠, TU2-RH7-506, Intel Core Ultra 7 265(2.4GHz)","","1432900","1432900","1432900","1432900","1640200","207300","2029.06.25"
"UP","주식회사 트리엠","25935422","데스크톱컴퓨터, 트리엠, TU2-CH7-506, Intel Core Ultra 7 265(2.4GHz)","","1432900","1432900","1432000","1432000","1640200","208200","2029.06.25"
"SAME","주식회사 한라온","24544639","데스크톱컴퓨터, 한라온, AN161-T2732315, Intel Core i7 12700(2.1GHz)","","1469350","1469350","","",,"0","2027.11.09"
"UP","주식회사 트리엠","25935424","데스크톱컴퓨터, 트리엠, TU2-CB7-506, Intel Core Ultra 7 265(2.4GHz)","","1482900","1482900","1478400","1478400","1690200","211800","2029.06.25"
"UP","주식회사 트리엠","25935420","데스크톱컴퓨터, 트리엠, TU2-RB7-506, Intel Core Ultra 7 265(2.4GHz)","","1482900","1482900","1482900","1482900","1690200","207300","2029.06.25"
"SAME","주식회사 한라온","24544623","데스크톱컴퓨터, 한라온, AN161-S2732325, Intel Core i7 12700(2.1GHz)","","1496250","1496250","","",,"0","2027.11.09"
"UP","주식회사 트리엠","25935429","데스크톱컴퓨터, 트리엠, TU2-RB5-5106, Intel Core Ultra 5 235(3.4GHz)","","1499400","1499400","1499400","1499400","1766600","267200","2029.06.25"
"UP","주식회사 트리엠","25935435","데스크톱컴퓨터, 트리엠, TU2-CB5-5106, Intel Core Ultra 5 235(3.4GHz)","","1499400","1499400","1497000","1497000","1766600","269600","2029.06.25"
"SAME","주식회사 한라온","25326634","데스크톱컴퓨터, 한라온, AN176-T3516327, Intel Core i5 13500(2.5GHz)","","1522620","1522620","","",,"0","2027.11.09"
"SAME","주식회사 한라온","24544647","데스크톱컴퓨터, 한라온, AN161-T2732324, Intel Core i7 12700(2.1GHz)","","1536850","1536850","","",,"0","2027.11.09"
"SAME","주식회사 트리엠","25935418","데스크톱컴퓨터, 트리엠, TU2-RB7-503, Intel Core Ultra 7 265(2.4GHz)","","1564500","","1562900","1562900",,"0","2029.06.25"
"SAME","주식회사 한라온","24552079","데스크톱컴퓨터, 한라온, AN161-T2732424, Intel Core i7 12700(2.1GHz)","","1565050","","","",,"0","2027.11.09"
