상태,업체명,식별번호,규격,2025-12-17,2025-12-31,2026-01-29,2026-02-26,2026-03-25,2026-04-26,변동액,계약종료일
SAME,주식회사 에이텍컴퓨터,25569831,"데스크톱컴퓨터, 에이텍컴퓨터, A3SQ-5NBDN, Intel Core i5 13500(2.5GHz)",1052000,1052000,1273000,1273000,1498000,,0,2029.09.30
SAME,주식회사 에이텍컴퓨터,25569876,"데스크톱컴퓨터, 에이텍컴퓨터, A3TQ-5NBDN, Intel Core i5 13500(2.5GHz)",1052000,1052000,1273000,1273000,1498000,,0,2029.09.30
SAME,사단법인 나너우리,25784886,"데스크톱컴퓨터, 나너우리, IYU-S451J9, Intel Core i5 14500(2.6GHz)",1052500,1052500,1357500,1513500,1513500,1513500,0,2029.09.30
SAME,사단법인 나너우리,25784871,"데스크톱컴퓨터, 나너우리, IYU-S45N9, Intel Core i5 14500(2.6GHz)",1052500,1052500,1397500,1576500,1576500,1576500,0,2029.09.30
SAME,사단법인 나너우리,25784873,"데스크톱컴퓨터, 나너우리, IYU-M451J9, Intel Core i5 14500(2.6GHz)",1052500,1052000,1357500,1513500,1513500,1513500,0,2029.09.30
SAME,(주)한성컴퓨터,25110172,"데스크톱컴퓨터, 한성컴퓨터, S7-A6821V0, AMD Ryzen 5 PRO 7645(3.8GHz)",1052800,1052500,1396300,1608800,1458800,1458800,0,2027.08.08
SAME,주식회사 대우루컴즈,25770993,"데스크톱컴퓨터, 대우루컴즈, DK46A-456200, Intel Core i5-14500(2.6GHz)",1053000,1052800,1240000,,,,0,2029.09.30
SAME,주식회사 인텍,25822419,"데스크톱컴퓨터, 인텍, ITA176-T4516320, IntelCore i5-14500(2.6GHz)",1053000,1053000,1280000,1506000,1486000,1486000,0,2029.03.14
SAME,주식회사 인텍,25822380,"데스크톱컴퓨터, 인텍, ITA176-S4516320, IntelCore i5-14500(2.6GHz)",1053000,1053000,1280000,1506000,1486000,1486000,0,2029.03.14
SAME,(주)컴트리,24611394,"데스크톱컴퓨터, 컴트리, CMG-C7C1LB1, Intel Core i7 12700(2.1GHz)",1053100,1053000,1306200,,,,0,2029.09.30
SAME,주식회사 인텍,25319780,"데스크톱컴퓨터, 인텍, IT176-S35163C0, Intel Core i5-13500(2.5GHz)",1053500,1053100,1360500,1669500,1669500,1669500,0,2029.03.14
SAME,주식회사 비엔피,25890499,"데스크톱컴퓨터, 비엔피, B5S-4T16S5H2, Intel Core i5 14500(2.6GHz)",1053800,1053500,1264800,1514800,1514800,1514800,0,2029.09.30
DOWN,(주)유투,26023422,"데스크톱컴퓨터, 유투, LS5E2-500/B, Intel Core i5 14500(2.6GHz)",1054000,1054000,1316800,1316800,1536800,1436800,-100000,2029.09.30
SAME,주식회사 서버앤컴퓨터,24589657,"데스크톱컴퓨터, 서버앤컴퓨터, DODE-M71612, Intel Core i7 12700(2.1GHz)",1054000,1053800,1304700,1304700,1490000,1490000,0,2026.04.29
SAME,사단법인 한국사회적일자리개발원,24526170,"데스크톱컴퓨터, 한국사회적일자리개발원, DT12-B508M51G0, Intel Core i5 12500(3.0GHz)",1054300,1054000,1342600,1521300,1521300,1521300,0,2029.09.30
SAME,위메이드 보호작업장,25229333,"데스크톱컴퓨터, 위메이드 보호작업장, RTS-F2ZM5VZ, Intel Core i5 13500(2.5GHz)",1054500,1054300,1320200,1536400,1381400,1381400,0,2026.07.19
SAME,위메이드 보호작업장,25229318,"데스크톱컴퓨터, 위메이드 보호작업장, RTM-F2ZM5VZ, Intel Core i5 13500(2.5GHz)",1054500,1054500,1320200,1536400,1381400,1381400,0,2026.07.19
SAME,위메이드 보호작업장,25638689,"데스크톱컴퓨터, 위메이드 보호작업장, RTS-52ZM5VZ, Intel Core i5 14500(2.6GHz)",1054800,1054800,1333600,1549800,1393500,1393500,0,2026.07.19
SAME,위메이드 보호작업장,25638694,"데스크톱컴퓨터, 위메이드 보호작업장, RTM-52ZM5VZ, Intel Core i5 14500(2.6GHz)",1054800,1054500,1333600,1549800,1393500,1393500,0,2026.07.19
SAME,위메이드 보호작업장,25638705,"데스크톱컴퓨터, 위메이드 보호작업장, RTS-12ZM5VZ, Intel Core i5 14500(2.6GHz)",1054800,1054800,1333600,1549800,1393500,1393500,0,2026.07.19
SAME,위더스컴퓨터 주식회사,25695811,"데스크톱컴퓨터, 위더스컴퓨터, B7S-450N2H116, Intel Core i5 14500(2.6GHz)",1055000,1054800,1367000,1367000,1543000,1543000,0,2029.09.30
SAME,주식회사 인비전,25738650,"데스크톱컴퓨터, 인비전, IV-M755165H2, Intel Core i5 14500(2.6GHz)",1055000,1055000,1294700,1294700,1496100,1496100,0,2029.09.30
SAME,(주)다컴시스템,25485001,"데스크톱컴퓨터, 다컴시스템, SI4DFM-4640BA, Intel Core i5 14500(2.6GHz)",1055000,1055000,1337000,1337000,1581000,1581000,0,2029.09.30
SAME,(주)다컴시스템,25485000,"데스크톱컴퓨터, 다컴시스템, MI4DFD-4640BA, Intel Core i5 14500(2.6GHz)",1055000,1055000,1337000,1337000,1581000,1581000,0,2029.09.30
SAME,주식회사 엔와이컴퓨터,25564171,"데스크톱컴퓨터, 엔와이컴퓨터, NY-P135QI00, Intel Core i5 13500(2.5GHz)",1056000,1056000,1356900,1356900,1524100,1524100,0,2029.09.30
SAME,주식회사 엔와이컴퓨터,25558726,"데스크톱컴퓨터, 엔와이컴퓨터, NY-E135QI00, Intel Core i5 13500(2.5GHz)",1056000,1056000,1356900,1356900,1524100,1524100,0,2029.09.30
SAME,주식회사 티원엘에스,25859197,"데스크톱컴퓨터, 티원엘에스, TMB-D41920S, Intel Core i5 14400(2.5GHz)",1056000,1056000,1289800,1289800,1285200,1285200,0,2029.03.18
SAME,주식회사 대우루컴즈,25563915,"데스크톱컴퓨터, 대우루컴즈, DS367A-346520, Intel Core i5 13400(2.5GHz)",1056000,1055000,1277000,,,,0,2029.09.30
SAME,주식회사 대우루컴즈,25563909,"데스크톱컴퓨터, 대우루컴즈, DT367B-346520, Intel Core i5 13400(2.5GHz)",1056000,1056000,1277000,,,,0,2029.09.30
SAME,주식회사 아이티에스,25155346,"데스크톱컴퓨터, 아이티에스, ITS-DT13-G7B51, Intel Core i7 13700(2.1GHz)",1056000,1056000,1430000,1430000,1630000,1630000,0,2028.02.12
SAME,주식회사 아이티에스,25155337,"데스크톱컴퓨터, 아이티에스, ITS-DS13-G7B51, Intel Core i7 13700(2.1GHz)",1056000,1056000,1430000,1430000,1630000,1630000,0,2028.02.12
